"MountVolume.WaitForAttach failed for volume ""pvc-3215e7e8-002e-4b7b-97d2-03107df03e52"" : volume 0001-0004-ceph-0000000000000002-2db28a20-affc-41d4-b14b-96ca107ae309 has GET error for volume attachment csi-71ea3c508458d54906a954e05e112b89d1655ea391cfb568fb6dba7f96554e18: volumeattachments.storage.k8s.io ""csi-71ea3c508458d54906a954e05e112b89d1655ea391cfb568fb6dba7f96554e18"" is forbidden: User ""system:node:ske-intgmn-qvthg-9kxsr"" cannot get resource ""volumeattachments"" in API group ""storage.k8s.io"" at the cluster scope: no relationship found between node 'ske-intgmn-qvthg-9kxsr' and this object","FailedMount","Pod","glance-api-74d45d4b9-m4xbh","openstack","kubelet","Warning","a27c32fe-f4b1-47eb-90ff-922a0647c78b","2025-06-17 21:27:10"
"MountVolume.WaitForAttach failed for volume ""pvc-3215e7e8-002e-4b7b-97d2-03107df03e52"" : volume 0001-0004-ceph-0000000000000002-2db28a20-affc-41d4-b14b-96ca107ae309 has GET error for volume attachment csi-71ea3c508458d54906a954e05e112b89d1655ea391cfb568fb6dba7f96554e18: volumeattachments.storage.k8s.io ""csi-71ea3c508458d54906a954e05e112b89d1655ea391cfb568fb6dba7f96554e18"" is forbidden: User ""system:node:ske-intgmn-qvthg-9kxsr"" cannot get resource ""volumeattachments"" in API group ""storage.k8s.io"" at the cluster scope: no relationship found between node 'ske-intgmn-qvthg-9kxsr' and this object","FailedMount","Pod","glance-api-74d45d4b9-m4xbh","openstack","kubelet","Warning","a27c32fe-f4b1-47eb-90ff-922a0647c78b","2025-06-17 21:27:10"
"MountVolume.WaitForAttach failed for volume ""pvc-3215e7e8-002e-4b7b-97d2-03107df03e52"" : volume 0001-0004-ceph-0000000000000002-2db28a20-affc-41d4-b14b-96ca107ae309 has GET error for volume attachment csi-71ea3c508458d54906a954e05e112b89d1655ea391cfb568fb6dba7f96554e18: volumeattachments.storage.k8s.io ""csi-71ea3c508458d54906a954e05e112b89d1655ea391cfb568fb6dba7f96554e18"" is forbidden: User ""system:node:ske-intgmn-qvthg-9kxsr"" cannot get resource ""volumeattachments"" in API group ""storage.k8s.io"" at the cluster scope: no relationship found between node 'ske-intgmn-qvthg-9kxsr' and this object","FailedMount","Pod","glance-api-74d45d4b9-m4xbh","openstack","kubelet","Warning","a27c32fe-f4b1-47eb-90ff-922a0647c78b","2025-06-17 21:27:10"
"MountVolume.WaitForAttach failed for volume ""pvc-3215e7e8-002e-4b7b-97d2-03107df03e52"" : volume 0001-0004-ceph-0000000000000002-2db28a20-affc-41d4-b14b-96ca107ae309 has GET error for volume attachment csi-71ea3c508458d54906a954e05e112b89d1655ea391cfb568fb6dba7f96554e18: volumeattachments.storage.k8s.io ""csi-71ea3c508458d54906a954e05e112b89d1655ea391cfb568fb6dba7f96554e18"" is forbidden: User ""system:node:ske-intgmn-qvthg-9kxsr"" cannot get resource ""volumeattachments"" in API group ""storage.k8s.io"" at the cluster scope: no relationship found between node 'ske-intgmn-qvthg-9kxsr' and this object","FailedMount","Pod","glance-api-74d45d4b9-m4xbh","openstack","kubelet","Warning","a27c32fe-f4b1-47eb-90ff-922a0647c78b","2025-06-17 21:27:10"
"MountVolume.WaitForAttach failed for volume ""pvc-3215e7e8-002e-4b7b-97d2-03107df03e52"" : volume 0001-0004-ceph-0000000000000002-2db28a20-affc-41d4-b14b-96ca107ae309 has GET error for volume attachment csi-71ea3c508458d54906a954e05e112b89d1655ea391cfb568fb6dba7f96554e18: volumeattachments.storage.k8s.io ""csi-71ea3c508458d54906a954e05e112b89d1655ea391cfb568fb6dba7f96554e18"" is forbidden: User ""system:node:ske-intgmn-qvthg-9kxsr"" cannot get resource ""volumeattachments"" in API group ""storage.k8s.io"" at the cluster scope: no relationship found between node 'ske-intgmn-qvthg-9kxsr' and this object","FailedMount","Pod","glance-api-74d45d4b9-m4xbh","openstack","kubelet","Warning","a27c32fe-f4b1-47eb-90ff-922a0647c78b","2025-06-17 21:27:10"
"MountVolume.WaitForAttach failed for volume ""pvc-3215e7e8-002e-4b7b-97d2-03107df03e52"" : volume 0001-0004-ceph-0000000000000002-2db28a20-affc-41d4-b14b-96ca107ae309 has GET error for volume attachment csi-71ea3c508458d54906a954e05e112b89d1655ea391cfb568fb6dba7f96554e18: volumeattachments.storage.k8s.io ""csi-71ea3c508458d54906a954e05e112b89d1655ea391cfb568fb6dba7f96554e18"" is forbidden: User ""system:node:ske-intgmn-qvthg-9kxsr"" cannot get resource ""volumeattachments"" in API group ""storage.k8s.io"" at the cluster scope: no relationship found between node 'ske-intgmn-qvthg-9kxsr' and this object","FailedMount","Pod","glance-api-74d45d4b9-m4xbh","openstack","kubelet","Warning","a27c32fe-f4b1-47eb-90ff-922a0647c78b","2025-06-17 21:27:10"
"MountVolume.WaitForAttach failed for volume ""pvc-3215e7e8-002e-4b7b-97d2-03107df03e52"" : volume 0001-0004-ceph-0000000000000002-2db28a20-affc-41d4-b14b-96ca107ae309 has GET error for volume attachment csi-71ea3c508458d54906a954e05e112b89d1655ea391cfb568fb6dba7f96554e18: volumeattachments.storage.k8s.io ""csi-71ea3c508458d54906a954e05e112b89d1655ea391cfb568fb6dba7f96554e18"" is forbidden: User ""system:node:ske-intgmn-qvthg-9kxsr"" cannot get resource ""volumeattachments"" in API group ""storage.k8s.io"" at the cluster scope: no relationship found between node 'ske-intgmn-qvthg-9kxsr' and this object","FailedMount","Pod","glance-api-74d45d4b9-m4xbh","openstack","kubelet","Warning","a27c32fe-f4b1-47eb-90ff-922a0647c78b","2025-06-17 21:27:10"
"Created pod: rook-ceph-csi-detect-version-5vqr8","SuccessfulCreate","Job","rook-ceph-csi-detect-version","rook-ceph","job-controller","Normal","a27c32fe-f4b1-47eb-90ff-922a0647c78b","2025-06-17 21:31:39"
"Successfully assigned rook-ceph/rook-ceph-csi-detect-version-5vqr8 to ske-intgmn-qvthg-z8g9n","Scheduled","Pod","rook-ceph-csi-detect-version-5vqr8","rook-ceph","default-scheduler","Normal","a27c32fe-f4b1-47eb-90ff-922a0647c78b","2025-06-17 21:31:39"
"Container image ""rook/ceph:v1.13.3"" already present on machine","Pulled","Pod","rook-ceph-csi-detect-version-5vqr8","rook-ceph","kubelet","Normal","a27c32fe-f4b1-47eb-90ff-922a0647c78b","2025-06-17 21:31:40"
