"20458d72-bd52-4522-8609-37b15597da27","","in-use","b55cdbd5-1419-48f3-91a9-18ef036a7c31",40,"ssd0","","dev1","2025-04-01 20:51:52"
"2090b523-02f3-48b6-9849-31015138f26f","","available","",30,"SSD","","dev1","2025-04-01 20:51:52"
"20bc31f4-4b45-4e24-a87e-26fedba19792","","in-use","756ffae2-2ad1-41cf-9fbe-b15d380b2d4b",16,"SSD_TMP","","dev1","2025-04-01 20:51:52"
"20d7a5aa-46a0-4e1c-a464-539f3dc4c934","","in-use","952b5408-f15b-4cd4-8687-84e9bfc403ad",100,"ssd0","","dev1","2025-04-01 20:51:52"
"210e5354-db51-4f0a-b335-be2f438cba5b","","in-use","3c32e34b-59fb-4f1d-94ed-7e042e9fdeb1",24,"ssd0","","dev1","2025-04-01 20:51:52"
"21105482-01fa-40cd-9ef6-413dcc28bf35","","in-use","e5f8edab-c7e4-411b-9687-083f367dfaca",200,"ssd0","","dev1","2025-04-01 20:51:52"
"21149d3a-e219-4067-8985-e8ae4463c9a7","vol-os-0814-a","in-use","3e3158ac-1704-4788-8c7d-8f92a62a776f",20,"SSD_TMP","","dev1","2025-04-01 20:51:52"
"2122b354-9b50-498d-a945-5eab7af774b5","","in-use","9fd926bb-f974-4a04-b2dd-2f4914c9cf65",100,"ssd0","","dev1","2025-04-01 20:51:52"
"21694a9d-944e-4816-8d7a-b27e64a7d15f","redissingleo-Disk-01","in-use","9c848edb-ed00-404d-bc05-2e39940bbac7",104,"SSD_TMP","","dev1","2025-04-01 20:51:52"
"21cee371-7c6d-4a32-b7a6-2c756f8b28a6","","in-use","56dc9180-35d1-4906-8e66-9a32e1932ec6",104,"SSD","","dev1","2025-04-01 20:51:52"
"228003ef-cf5d-4ac6-b1b8-81916f0fa6ac","postinstallmkp-832dea68256b4205876e40f7f1691020-r_server01_os_volume-schtie454fzo","in-use","afe1671a-50bf-4d0e-b6c5-1845f3c0005c",104,"ssd0","","dev1","2025-04-01 20:51:52"
"22b2b9e7-c021-4659-8143-bd412016096a","","in-use","adc9ea1e-babc-4437-8892-972bdfe63cde",100,"ssd0","","dev1","2025-04-01 20:51:52"
"22c708d0-8be5-4bad-90c7-b0a4d8533945","no-encryption-os-dell","in-use","d6cad575-dce3-43fe-ae77-0490a1c7e49a",32,"SSD","","dev1","2025-04-01 20:51:52"
"22dc596d-2716-4777-a2d6-a9f70339f039","","in-use","aaafb805-82bc-4a15-b900-308b15bf6cd6",16,"SSD_TMP","","dev1","2025-04-01 20:51:52"
"22fe1768-b5f0-4326-8d6d-e6c369ca652e","kmssql-Disk-01","available","",16,"SSD_TMP","","dev1","2025-04-01 20:51:52"
"232b377c-07a8-4f99-be6e-4f38c30665ae","testmssqllll-Disk-01","available","",16,"SSD_TMP","","dev1","2025-04-01 20:51:52"
"23914cce-b0c6-4930-a583-0a88a8a7112e","vol-db-1","in-use","cceee9ae-2193-41f5-824d-92aedbecc92b",100,"ssd0","","dev1","2025-04-01 20:51:52"
"24b69bd7-6a25-4749-96b0-d97549ad7aaf","","in-use","df06ef7e-fa68-492d-8dc4-dc5d1fa815c6",200,"ssd0","","dev1","2025-04-01 20:51:52"
"24c12351-d742-48f7-a43f-5f7f62695fb9","redisclusterb-Disk-01","in-use","9129357d-c0c6-4ae4-a139-5747ec2bbf4e",104,"ssd0","","dev1","2025-04-01 20:51:52"
"24f3cda4-6b17-4a90-89d3-990abd82e136","","in-use","862db782-64f0-4f0e-84da-c3783842525c",24,"ssd0","","dev1","2025-04-01 20:51:52"
"25469b7f-2a98-4102-8f57-8c9904f14fc7","pvc-a9bfda53-910a-49fd-95bf-e08731e7b67d","in-use","7af3a69a-3dfb-48ef-a2cc-16a952d4b3fa",10,"ssd0","","dev1","2025-04-01 20:51:52"
"25a2270f-1d36-4ef5-907c-4f705bc6c112","","available","",424,"ssd0","","dev1","2025-04-01 20:51:52"
"2645f6ce-f5ea-4f1b-a1e0-a779b8b7b321","","in-use","cd708c25-722a-4842-a06d-d64dd88ce025",16,"SSD_TMP","","dev1","2025-04-01 20:51:52"
"268772d1-5850-4d3b-8f8a-b3b1f3184aa5","","in-use","65b5b2a0-05b5-4c48-bd69-4e0a4dc03e32",20,"SSD","","dev1","2025-04-01 20:51:52"
"26ce40fe-ea86-45a9-9499-1a3faadd84a2","","in-use","dd315777-a625-4b1d-8d40-f5a112af51aa",24,"SSD","","dev1","2025-04-01 20:51:52"
